#	Valor	ID	Clase	IDAtomo	Atomo
53	str[1]	1	10:STRING	53	"	27
54	)	41	7:SPECIAL	44	)	27
55	END	7	0:KEYWORD	7	f	28
56	;	59	7:SPECIAL	48	;	28
57	id[2]	2	1:ID	20	a	29
58	:=	0	11:ASSIGN	54	=	29
59	5	0	8:INT_LIT	51	n	29
60	;	59	7:SPECIAL	48	;	29
61	id[3]	3	1:ID	20	a	30
62	:=	0	11:ASSIGN	54	=	30
63	id[2]	2	1:ID	20	a	30
64	+	43	5:A_OPER	33	+	30
65	3	0	8:INT_LIT	51	n	30
66	;	59	7:SPECIAL	48	;	30
67	IF	9	0:KEYWORD	9	s	31
68	id[2]	2	1:ID	20	a	31
69	>=	5	6:R_OPER	42	$	31
70	18	0	8:INT_LIT	51	n	31
71	THEN	15	0:KEYWORD	15	h	31
72	BEGIN	2	0:KEYWORD	2	e	32
73	id[3]	3	1:ID	20	a	33
74	:=	0	11:ASSIGN	54	=	33
75	40	0	8:INT_LIT	51	n	33
76	END	7	0:KEYWORD	7	f	34
77	;	59	7:SPECIAL	48	;	34
78	;	59	7:SPECIAL	48	;	34
79	writeln	5	4:PROCED	32	m	35
80	(	40	7:SPECIAL	43	(	35
81	str[0]	0	10:STRING	53	"	35
82	)	41	7:SPECIAL	44	)	35
83	4	0	8:INT_LIT	51	n	35
84	;	59	7:SPECIAL	48	;	35
85	IF	9	0:KEYWORD	9	s	36
86	id[2]	2	1:ID	20	a	36
87	=	2	6:R_OPER	39	¿	36
88	60	0	8:INT_LIT	51	n	36
89	THEN	15	0:KEYWORD	15	h	36
90	id[5]	5	1:ID	20	a	37
91	:=	0	11:ASSIGN	54	=	37
92	0	0	8:INT_LIT	51	n	37
93	;	59	7:SPECIAL	48	;	37
94	;	59	7:SPECIAL	48	;	37
95	FOR	8	0:KEYWORD	8	p	38
96	id[5]	5	1:ID	20	a	38
97	:=	0	11:ASSIGN	54	=	38
98	57005	0	8:INT_LIT	51	n	38
99	DOWNTO	5	0:KEYWORD	5	d	38
100	id[6]	6	1:ID	20	a	38
101	+	43	5:A_OPER	33	+	38
102	8	0	8:INT_LIT	51	n	38
103	DO	4	0:KEYWORD	4	z	38
104	BEGIN	2	0:KEYWORD	2	e	39
105	writeln	5	4:PROCED	32	m	40
106	(	40	7:SPECIAL	43	(	40
107	str[1]	1	10:STRING	53	"	40
108	)	41	7:SPECIAL	44	)	40
109	END	7	0:KEYWORD	7	f	41
110	;	59	7:SPECIAL	48	;	41
111	IF	9	0:KEYWORD	9	s	42
112	id[2]	2	1:ID	20	a	42
113	=	2	6:R_OPER	39	¿	42
114	id[3]	3	1:ID	20	a	42
115	THEN	15	0:KEYWORD	15	h	42
116	id[5]	5	1:ID	20	a	43
117	:=	0	11:ASSIGN	54	=	43
118	90	0	8:INT_LIT	51	n	43
119	;	59	7:SPECIAL	48	;	43
120	;	59	7:SPECIAL	48	;	43
121	IF	9	0:KEYWORD	9	s	44
122	id[7]	7	1:ID	20	a	44
123	=	2	6:R_OPER	39	¿	44
124	id[8]	8	1:ID	20	a	44
125	THEN	15	0:KEYWORD	15	h	44
126	id[5]	5	1:ID	20	a	45
127	:=	0	11:ASSIGN	54	=	45
128	90	0	8:INT_LIT	51	n	45
129	;	59	7:SPECIAL	48	;	45
130	;	59	7:SPECIAL	48	;	45
131	REPEAT	14	0:KEYWORD	14	@	46
132	id[9]	9	1:ID	20	a	46
133	:=	0	11:ASSIGN	54	=	46
134	id[10]	10	1:ID	20	a	46
135	+	43	5:A_OPER	33	+	46
136	1	0	8:INT_LIT	51	n	46
137	UNTIL	17	0:KEYWORD	17	k	46
138	id[9]	9	1:ID	20	a	46
139	>	4	6:R_OPER	41	>	46
140	9	0	8:INT_LIT	51	n	46
141	;	59	7:SPECIAL	48	;	46
142	REPEAT	14	0:KEYWORD	14	@	47
143	id[9]	9	1:ID	20	a	47
144	:=	0	11:ASSIGN	54	=	47
145	id[10]	10	1:ID	20	a	47
146	+	43	5:A_OPER	33	+	47
147	1	0	8:INT_LIT	51	n	47
148	UNTIL	17	0:KEYWORD	17	k	47
149	id[9]	9	1:ID	20	a	47
150	>	4	6:R_OPER	41	>	47
151	9	0	8:INT_LIT	51	n	47
152	;	59	7:SPECIAL	48	;	47
153	FOR	8	0:KEYWORD	8	p	48
154	id[5]	5	1:ID	20	a	48
155	:=	0	11:ASSIGN	54	=	48
156	57005	0	8:INT_LIT	51	n	48
157	DOWNTO	5	0:KEYWORD	5	d	48
158	id[11]	11	1:ID	20	a	48
159	DO	4	0:KEYWORD	4	z	48
160	BEGIN	2	0:KEYWORD	2	e	49
161	writeln	5	4:PROCED	32	m	50
162	(	40	7:SPECIAL	43	(	50
163	str[1]	1	10:STRING	53	"	50
164	)	41	7:SPECIAL	44	)	50
165	END	7	0:KEYWORD	7	f	51
166	;	59	7:SPECIAL	48	;	51
167	id[2]	2	1:ID	20	a	52
168	:=	0	11:ASSIGN	54	=	52
