#	Valor	ID	Clase	IDAtomo	Atomo
18	str[1]	1	10:STRING	53	"	133
19	)	41	7:SPECIAL	44	)	133
20	END	7	0:KEYWORD	7	f	134
21	;	59	7:SPECIAL	48	;	134
22	IF	9	0:KEYWORD	9	s	135
23	id[2]	2	1:ID	20	a	135
24	=	2	6:R_OPER	39	¿	135
25	id[3]	3	1:ID	20	a	135
26	THEN	15	0:KEYWORD	15	h	135
27	id[5]	5	1:ID	20	a	136
28	:=	0	11:ASSIGN	54	=	136
29	90	0	8:INT_LIT	51	n	136
30	;	59	7:SPECIAL	48	;	136
31	;	59	7:SPECIAL	48	;	136
32	IF	9	0:KEYWORD	9	s	137
33	id[7]	7	1:ID	20	a	137
34	=	2	6:R_OPER	39	¿	137
35	id[8]	8	1:ID	20	a	137
36	THEN	15	0:KEYWORD	15	h	137
37	id[5]	5	1:ID	20	a	138
38	:=	0	11:ASSIGN	54	=	138
39	90	0	8:INT_LIT	51	n	138
40	;	59	7:SPECIAL	48	;	138
41	;	59	7:SPECIAL	48	;	138
42	REPEAT	14	0:KEYWORD	14	@	139
43	id[9]	9	1:ID	20	a	139
44	:=	0	11:ASSIGN	54	=	139
45	id[10]	10	1:ID	20	a	139
46	+	43	5:A_OPER	33	+	139
47	1	0	8:INT_LIT	51	n	139
48	UNTIL	17	0:KEYWORD	17	k	139
49	id[9]	9	1:ID	20	a	139
50	>	4	6:R_OPER	41	>	139
51	9	0	8:INT_LIT	51	n	139
52	;	59	7:SPECIAL	48	;	139
53	REPEAT	14	0:KEYWORD	14	@	140
54	id[9]	9	1:ID	20	a	140
55	:=	0	11:ASSIGN	54	=	140
56	id[10]	10	1:ID	20	a	140
57	+	43	5:A_OPER	33	+	140
58	1	0	8:INT_LIT	51	n	140
59	UNTIL	17	0:KEYWORD	17	k	140
60	id[9]	9	1:ID	20	a	140
61	>	4	6:R_OPER	41	>	140
62	9	0	8:INT_LIT	51	n	140
63	;	59	7:SPECIAL	48	;	140
64	FOR	8	0:KEYWORD	8	p	141
65	id[5]	5	1:ID	20	a	141
66	:=	0	11:ASSIGN	54	=	141
67	57005	0	8:INT_LIT	51	n	141
68	DOWNTO	5	0:KEYWORD	5	d	141
69	id[11]	11	1:ID	20	a	141
70	DO	4	0:KEYWORD	4	z	141
71	BEGIN	2	0:KEYWORD	2	e	142
72	writeln	5	4:PROCED	32	m	143
73	(	40	7:SPECIAL	43	(	143
74	str[1]	1	10:STRING	53	"	143
75	)	41	7:SPECIAL	44	)	143
76	END	7	0:KEYWORD	7	f	144
77	;	59	7:SPECIAL	48	;	144
78	id[2]	2	1:ID	20	a	145
79	:=	0	11:ASSIGN	54	=	145
80	5	0	8:INT_LIT	51	n	145
81	;	59	7:SPECIAL	48	;	145
82	id[3]	3	1:ID	20	a	146
83	:=	0	11:ASSIGN	54	=	146
84	id[2]	2	1:ID	20	a	146
85	+	43	5:A_OPER	33	+	146
86	3	0	8:INT_LIT	51	n	146
87	;	59	7:SPECIAL	48	;	146
88	IF	9	0:KEYWORD	9	s	147
89	id[2]	2	1:ID	20	a	147
90	>=	5	6:R_OPER	42	$	147
91	18	0	8:INT_LIT	51	n	147
92	THEN	15	0:KEYWORD	15	h	147
93	BEGIN	2	0:KEYWORD	2	e	148
94	id[3]	3	1:ID	20	a	149
95	:=	0	11:ASSIGN	54	=	149
96	40	0	8:INT_LIT	51	n	149
97	END	7	0:KEYWORD	7	f	150
98	;	59	7:SPECIAL	48	;	150
99	;	59	7:SPECIAL	48	;	150
100	writeln	5	4:PROCED	32	m	151
101	(	40	7:SPECIAL	43	(	151
102	str[0]	0	10:STRING	53	"	151
103	)	41	7:SPECIAL	44	)	151
104	4	0	8:INT_LIT	51	n	151
105	;	59	7:SPECIAL	48	;	151
106	IF	9	0:KEYWORD	9	s	152
107	id[2]	2	1:ID	20	a	152
108	=	2	6:R_OPER	39	¿	152
109	60	0	8:INT_LIT	51	n	152
110	THEN	15	0:KEYWORD	15	h	152
111	id[5]	5	1:ID	20	a	153
112	:=	0	11:ASSIGN	54	=	153
113	0	0	8:INT_LIT	51	n	153
114	;	59	7:SPECIAL	48	;	153
115	;	59	7:SPECIAL	48	;	153
116	FOR	8	0:KEYWORD	8	p	154
117	id[5]	5	1:ID	20	a	154
118	:=	0	11:ASSIGN	54	=	154
119	57005	0	8:INT_LIT	51	n	154
120	DOWNTO	5	0:KEYWORD	5	d	154
121	id[6]	6	1:ID	20	a	154
122	+	43	5:A_OPER	33	+	154
123	8	0	8:INT_LIT	51	n	154
124	DO	4	0:KEYWORD	4	z	154
125	BEGIN	2	0:KEYWORD	2	e	155
126	writeln	5	4:PROCED	32	m	156
127	(	40	7:SPECIAL	43	(	156
128	str[1]	1	10:STRING	53	"	156
129	)	41	7:SPECIAL	44	)	156
130	END	7	0:KEYWORD	7	f	157
131	;	59	7:SPECIAL	48	;	157
132	IF	9	0:KEYWORD	9	s	158
133	id[2]	2	1:ID	20	a	158
134	=	2	6:R_OPER	39	¿	158
135	id[3]	3	1:ID	20	a	158
136	THEN	15	0:KEYWORD	15	h	158
137	id[5]	5	1:ID	20	a	159
138	:=	0	11:ASSIGN	54	=	159
139	90	0	8:INT_LIT	51	n	159
140	;	59	7:SPECIAL	48	;	159
141	;	59	7:SPECIAL	48	;	159
142	IF	9	0:KEYWORD	9	s	160
143	id[7]	7	1:ID	20	a	160
144	=	2	6:R_OPER	39	¿	160
145	id[8]	8	1:ID	20	a	160
146	THEN	15	0:KEYWORD	15	h	160
147	id[5]	5	1:ID	20	a	161
148	:=	0	11:ASSIGN	54	=	161
149	90	0	8:INT_LIT	51	n	161
150	;	59	7:SPECIAL	48	;	161
151	;	59	7:SPECIAL	48	;	161
152	REPEAT	14	0:KEYWORD	14	@	162
153	id[9]	9	1:ID	20	a	162
154	:=	0	11:ASSIGN	54	=	162
155	id[10]	10	1:ID	20	a	162
156	+	43	5:A_OPER	33	+	162
157	1	0	8:INT_LIT	51	n	162
158	UNTIL	17	0:KEYWORD	17	k	162
159	id[9]	9	1:ID	20	a	162
160	>	4	6:R_OPER	41	>	162
161	9	0	8:INT_LIT	51	n	162
162	;	59	7:SPECIAL	48	;	162
163	REPEAT	14	0:KEYWORD	14	@	163
164	id[9]	9	1:ID	20	a	163
165	:=	0	11:ASSIGN	54	=	163
166	id[10]	10	1:ID	20	a	163
167	+	43	5:A_OPER	33	+	163
168	1	0	8:INT_LIT	51	n	163
169	UNTIL	17	0:KEYWORD	17	k	163
170	id[9]	9	1:ID	20	a	163
171	>	4	6:R_OPER	41	>	163
172	9	0	8:INT_LIT	51	n	163
173	;	59	7:SPECIAL	48	;	163
174	FOR	8	0:KEYWORD	8	p	164
175	id[5]	5	1:ID	20	a	164
176	:=	0	11:ASSIGN	54	=	164
177	57005	0	8:INT_LIT	51	n	164
178	DOWNTO	5	0:KEYWORD	5	d	164
179	id[11]	11	1:ID	20	a	164
180	DO	4	0:KEYWORD	4	z	164
181	BEGIN	2	0:KEYWORD	2	e	165
182	writeln	5	4:PROCED	32	m	166
183	(	40	7:SPECIAL	43	(	166
184	str[1]	1	10:STRING	53	"	166
185	)	41	7:SPECIAL	44	)	166
186	END	7	0:KEYWORD	7	f	167
187	;	59	7:SPECIAL	48	;	167
188	id[2]	2	1:ID	20	a	168
189	:=	0	11:ASSIGN	54	=	168
190	5	0	8:INT_LIT	51	n	168
191	;	59	7:SPECIAL	48	;	168
192	id[3]	3	1:ID	20	a	169
193	:=	0	11:ASSIGN	54	=	169
194	id[2]	2	1:ID	20	a	169
195	+	43	5:A_OPER	33	+	169
196	3	0	8:INT_LIT	51	n	169
197	;	59	7:SPECIAL	48	;	169
198	IF	9	0:KEYWORD	9	s	170
199	id[2]	2	1:ID	20	a	170
200	>=	5	6:R_OPER	42	$	170
201	18	0	8:INT_LIT	51	n	170
202	THEN	15	0:KEYWORD	15	h	170
203	BEGIN	2	0:KEYWORD	2	e	171
204	id[3]	3	1:ID	20	a	172
205	:=	0	11:ASSIGN	54	=	172
206	40	0	8:INT_LIT	51	n	172
207	END	7	0:KEYWORD	7	f	173
208	;	59	7:SPECIAL	48	;	173
209	;	59	7:SPECIAL	48	;	173
210	writeln	5	4:PROCED	32	m	174
211	(	40	7:SPECIAL	43	(	174
212	str[0]	0	10:STRING	53	"	174
213	)	41	7:SPECIAL	44	)	174
214	4	0	8:INT_LIT	51	n	174
215	;	59	7:SPECIAL	48	;	174
216	IF	9	0:KEYWORD	9	s	175
217	id[2]	2	1:ID	20	a	175
218	=	2	6:R_OPER	39	¿	175
219	60	0	8:INT_LIT	51	n	175
220	THEN	15	0:KEYWORD	15	h	175
221	id[5]	5	1:ID	20	a	176
222	:=	0	11:ASSIGN	54	=	176
223	0	0	8:INT_LIT	51	n	176
224	;	59	7:SPECIAL	48	;	176
225	;	59	7:SPECIAL	48	;	176
226	FOR	8	0:KEYWORD	8	p	177
227	id[5]	5	1:ID	20	a	177
228	:=	0	11:ASSIGN	54	=	177
229	57005	0	8:INT_LIT	51	n	177
230	DOWNTO	5	0:KEYWORD	5	d	177
231	id[6]	6	1:ID	20	a	177
232	+	43	5:A_OPER	33	+	177
233	8	0	8:INT_LIT	51	n	177
234	DO	4	0:KEYWORD	4	z	177
235	BEGIN	2	0:KEYWORD	2	e	178
236	writeln	5	4:PROCED	32	m	179
237	(	40	7:SPECIAL	43	(	179
238	str[1]	1	10:STRING	53	"	179
239	)	41	7:SPECIAL	44	)	179
240	END	7	0:KEYWORD	7	f	180
241	;	59	7:SPECIAL	48	;	180
242	IF	9	0:KEYWORD	9	s	181
243	id[2]	2	1:ID	20	a	181
244	=	2	6:R_OPER	39	¿	181
245	id[3]	3	1:ID	20	a	181
246	THEN	15	0:KEYWORD	15	h	181
247	id[5]	5	1:ID	20	a	182
248	:=	0	11:ASSIGN	54	=	182
249	90	0	8:INT_LIT	51	n	182
250	;	59	7:SPECIAL	48	;	182
251	;	59	7:SPECIAL	48	;	182
252	IF	9	0:KEYWORD	9	s	183
253	id[7]	7	1:ID	20	a	183
254	=	2	6:R_OPER	39	¿	183
255	id[8]	8	1:ID	20	a	183
256	THEN	15	0:KEYWORD	15	h	183
257	id[5]	5	1:ID	20	a	184
258	:=	0	11:ASSIGN	54	=	184
259	90	0	8:INT_LIT	51	n	184
260	;	59	7:SPECIAL	48	;	184
261	;	59	7:SPECIAL	48	;	184
262	REPEAT	14	0:KEYWORD	14	@	185
263	id[9]	9	1:ID	20	a	185
264	:=	0	11:ASSIGN	54	=	185
265	id[10]	10	1:ID	20	a	185
266	+	43	5:A_OPER	33	+	185
267	1	0	8:INT_LIT	51	n	185
268	UNTIL	17	0:KEYWORD	17	k	185
269	id[9]	9	1:ID	20	a	185
270	>	4	6:R_OPER	41	>	185
271	9	0	8:INT_LIT	51	n	185
272	;	59	7:SPECIAL	48	;	185
273	REPEAT	14	0:KEYWORD	14	@	186
274	id[9]	9	1:ID	20	a	186
275	:=	0	11:ASSIGN	54	=	186
276	id[10]	10	1:ID	20	a	186
277	+	43	5:A_OPER	33	+	186
278	1	0	8:INT_LIT	51	n	186
279	UNTIL	17	0:KEYWORD	17	k	186
280	id[9]	9	1:ID	20	a	186
281	>	4	6:R_OPER	41	>	186
282	9	0	8:INT_LIT	51	n	186
283	;	59	7:SPECIAL	48	;	186
284	FOR	8	0:KEYWORD	8	p	187
285	id[5]	5	1:ID	20	a	187
286	:=	0	11:ASSIGN	54	=	187
287	57005	0	8:INT_LIT	51	n	187
288	DOWNTO	5	0:KEYWORD	5	d	187
289	id[11]	11	1:ID	20	a	187
290	DO	4	0:KEYWORD	4	z	187
291	BEGIN	2	0:KEYWORD	2	e	188
292	writeln	5	4:PROCED	32	m	189
293	(	40	7:SPECIAL	43	(	189
294	str[1]	1	10:STRING	53	"	189
295	)	41	7:SPECIAL	44	)	189
296	END	7	0:KEYWORD	7	f	190
297	;	59	7:SPECIAL	48	;	190
298	id[2]	2	1:ID	20	a	191
299	:=	0	11:ASSIGN	54	=	191
300	5	0	8:INT_LIT	51	n	191
301	;	59	7:SPECIAL	48	;	191
302	id[3]	3	1:ID	20	a	192
303	:=	0	11:ASSIGN	54	=	192
304	id[2]	2	1:ID	20	a	192
305	+	43	5:A_OPER	33	+	192
306	3	0	8:INT_LIT	51	n	192
307	;	59	7:SPECIAL	48	;	192
308	IF	9	0:KEYWORD	9	s	193
309	id[2]	2	1:ID	20	a	193
310	>=	5	6:R_OPER	42	$	193
311	18	0	8:INT_LIT	51	n	193
312	THEN	15	0:KEYWORD	15	h	193
313	BEGIN	2	0:KEYWORD	2	e	194
314	id[3]	3	1:ID	20	a	195
315	:=	0	11:ASSIGN	54	=	195
316	40	0	8:INT_LIT	51	n	195
317	END	7	0:KEYWORD	7	f	196
318	;	59	7:SPECIAL	48	;	196
319	;	59	7:SPECIAL	48	;	196
320	writeln	5	4:PROCED	32	m	197
321	(	40	7:SPECIAL	43	(	197
322	str[0]	0	10:STRING	53	"	197
323	)	41	7:SPECIAL	44	)	197
324	4	0	8:INT_LIT	51	n	197
325	;	59	7:SPECIAL	48	;	197
326	IF	9	0:KEYWORD	9	s	198
327	id[2]	2	1:ID	20	a	198
328	=	2	6:R_OPER	39	¿	198
329	60	0	8:INT_LIT	51	n	198
330	THEN	15	0:KEYWORD	15	h	198
331	id[5]	5	1:ID	20	a	199
332	:=	0	11:ASSIGN	54	=	199
333	0	0	8:INT_LIT	51	n	199
334	;	59	7:SPECIAL	48	;	199
335	;	59	7:SPECIAL	48	;	199
336	FOR	8	0:KEYWORD	8	p	200
337	id[5]	5	1:ID	20	a	200
338	:=	0	11:ASSIGN	54	=	200
339	57005	0	8:INT_LIT	51	n	200
340	DOWNTO	5	0:KEYWORD	5	d	200
341	id[6]	6	1:ID	20	a	200
342	+	43	5:A_OPER	33	+	200
343	8	0	8:INT_LIT	51	n	200
344	DO	4	0:KEYWORD	4	z	200
345	BEGIN	2	0:KEYWORD	2	e	201
346	writeln	5	4:PROCED	32	m	202
347	(	40	7:SPECIAL	43	(	202
348	str[1]	1	10:STRING	53	"	202
349	)	41	7:SPECIAL	44	)	202
350	END	7	0:KEYWORD	7	f	203
351	;	59	7:SPECIAL	48	;	203
352	IF	9	0:KEYWORD	9	s	204
353	id[2]	2	1:ID	20	a	204
354	=	2	6:R_OPER	39	¿	204
355	id[3]	3	1:ID	20	a	204
356	THEN	15	0:KEYWORD	15	h	204
357	id[5]	5	1:ID	20	a	205
358	:=	0	11:ASSIGN	54	=	205
359	90	0	8:INT_LIT	51	n	205
360	;	59	7:SPECIAL	48	;	205
361	;	59	7:SPECIAL	48	;	205
362	IF	9	0:KEYWORD	9	s	206
363	id[7]	7	1:ID	20	a	206
364	=	2	6:R_OPER	39	¿	206
365	id[8]	8	1:ID	20	a	206
366	THEN	15	0:KEYWORD	15	h	206
367	id[5]	5	1:ID	20	a	207
368	:=	0	11:ASSIGN	54	=	207
369	90	0	8:INT_LIT	51	n	207
370	;	59	7:SPECIAL	48	;	207
371	;	59	7:SPECIAL	48	;	207
372	REPEAT	14	0:KEYWORD	14	@	208
373	id[9]	9	1:ID	20	a	208
374	:=	0	11:ASSIGN	54	=	208
375	id[10]	10	1:ID	20	a	208
376	+	43	5:A_OPER	33	+	208
377	1	0	8:INT_LIT	51	n	208
378	UNTIL	17	0:KEYWORD	17	k	208
379	id[9]	9	1:ID	20	a	208
380	>	4	6:R_OPER	41	>	208
381	9	0	8:INT_LIT	51	n	208
382	;	59	7:SPECIAL	48	;	208
383	REPEAT	14	0:KEYWORD	14	@	209
384	id[9]	9	1:ID	20	a	209
385	:=	0	11:ASSIGN	54	=	209
386	id[10]	10	1:ID	20	a	209
387	+	43	5:A_OPER	33	+	209
388	1	0	8:INT_LIT	51	n	209
389	UNTIL	17	0:KEYWORD	17	k	209
390	id[9]	9	1:ID	20	a	209
391	>	4	6:R_OPER	41	>	209
392	9	0	8:INT_LIT	51	n	209
393	;	59	7:SPECIAL	48	;	209
394	FOR	8	0:KEYWORD	8	p	210
395	id[5]	5	1:ID	20	a	210
396	:=	0	11:ASSIGN	54	=	210
397	57005	0	8:INT_LIT	51	n	210
398	DOWNTO	5	0:KEYWORD	5	d	210
399	id[11]	11	1:ID	20	a	210
400	DO	4	0:KEYWORD	4	z	210
401	BEGIN	2	0:KEYWORD	2	e	211
402	writeln	5	4:PROCED	32	m	212
403	(	40	7:SPECIAL	43	(	212
404	str[1]	1	10:STRING	53	"	212
405	)	41	7:SPECIAL	44	)	212
406	END	7	0:KEYWORD	7	f	213
407	;	59	7:SPECIAL	48	;	213
408	id[2]	2	1:ID	20	a	214
409	:=	0	11:ASSIGN	54	=	214
410	5	0	8:INT_LIT	51	n	214
411	;	59	7:SPECIAL	48	;	214
412	id[3]	3	1:ID	20	a	215
413	:=	0	11:ASSIGN	54	=	215
414	id[2]	2	1:ID	20	a	215
415	+	43	5:A_OPER	33	+	215
416	3	0	8:INT_LIT	51	n	215
417	;	59	7:SPECIAL	48	;	215
418	IF	9	0:KEYWORD	9	s	216
419	id[2]	2	1:ID	20	a	216
420	>=	5	6:R_OPER	42	$	216
421	18	0	8:INT_LIT	51	n	216
422	THEN	15	0:KEYWORD	15	h	216
423	BEGIN	2	0:KEYWORD	2	e	217
424	id[3]	3	1:ID	20	a	218
425	:=	0	11:ASSIGN	54	=	218
426	40	0	8:INT_LIT	51	n	218
427	END	7	0:KEYWORD	7	f	219
428	;	59	7:SPECIAL	48	;	219
429	;	59	7:SPECIAL	48	;	219
430	writeln	5	4:PROCED	32	m	220
431	(	40	7:SPECIAL	43	(	220
432	str[0]	0	10:STRING	53	"	220
433	)	41	7:SPECIAL	44	)	220
434	4	0	8:INT_LIT	51	n	220
435	;	59	7:SPECIAL	48	;	220
436	IF	9	0:KEYWORD	9	s	221
437	id[2]	2	1:ID	20	a	221
438	=	2	6:R_OPER	39	¿	221
439	60	0	8:INT_LIT	51	n	221
440	THEN	15	0:KEYWORD	15	h	221
441	id[5]	5	1:ID	20	a	222
442	:=	0	11:ASSIGN	54	=	222
443	0	0	8:INT_LIT	51	n	222
444	;	59	7:SPECIAL	48	;	222
445	;	59	7:SPECIAL	48	;	222
446	FOR	8	0:KEYWORD	8	p	223
447	id[5]	5	1:ID	20	a	223
448	:=	0	11:ASSIGN	54	=	223
449	57005	0	8:INT_LIT	51	n	223
450	DOWNTO	5	0:KEYWORD	5	d	223
451	id[6]	6	1:ID	20	a	223
452	+	43	5:A_OPER	33	+	223
453	8	0	8:INT_LIT	51	n	223
454	DO	4	0:KEYWORD	4	z	223
455	BEGIN	2	0:KEYWORD	2	e	224
456	writeln	5	4:PROCED	32	m	225
457	(	40	7:SPECIAL	43	(	225
458	str[1]	1	10:STRING	53	"	225
459	)	41	7:SPECIAL	44	)	225
460	END	7	0:KEYWORD	7	f	226
461	;	59	7:SPECIAL	48	;	226
462	IF	9	0:KEYWORD	9	s	227
463	id[2]	2	1:ID	20	a	227
464	=	2	6:R_OPER	39	¿	227
465	id[3]	3	1:ID	20	a	227
466	THEN	15	0:KEYWORD	15	h	227
467	id[5]	5	1:ID	20	a	228
468	:=	0	11:ASSIGN	54	=	228
469	90	0	8:INT_LIT	51	n	228
470	;	59	7:SPECIAL	48	;	228
471	;	59	7:SPECIAL	48	;	228
472	IF	9	0:KEYWORD	9	s	229
473	id[7]	7	1:ID	20	a	229
474	=	2	6:R_OPER	39	¿	229
475	id[8]	8	1:ID	20	a	229
476	THEN	15	0:KEYWORD	15	h	229
477	id[5]	5	1:ID	20	a	230
478	:=	0	11:ASSIGN	54	=	230
479	90	0	8:INT_LIT	51	n	230
480	;	59	7:SPECIAL	48	;	230
481	;	59	7:SPECIAL	48	;	230
482	REPEAT	14	0:KEYWORD	14	@	231
483	id[9]	9	1:ID	20	a	231
484	:=	0	11:ASSIGN	54	=	231
485	id[10]	10	1:ID	20	a	231
486	+	43	5:A_OPER	33	+	231
487	1	0	8:INT_LIT	51	n	231
488	UNTIL	17	0:KEYWORD	17	k	231
489	id[9]	9	1:ID	20	a	231
490	>	4	6:R_OPER	41	>	231
491	9	0	8:INT_LIT	51	n	231
492	;	59	7:SPECIAL	48	;	231
493	REPEAT	14	0:KEYWORD	14	@	232
494	id[9]	9	1:ID	20	a	232
495	:=	0	11:ASSIGN	54	=	232
496	id[10]	10	1:ID	20	a	232
497	+	43	5:A_OPER	33	+	232
498	1	0	8:INT_LIT	51	n	232
499	UNTIL	17	0:KEYWORD	17	k	232
500	id[9]	9	1:ID	20	a	232
501	>	4	6:R_OPER	41	>	232
502	9	0	8:INT_LIT	51	n	232
503	;	59	7:SPECIAL	48	;	232
504	FOR	8	0:KEYWORD	8	p	233
505	id[5]	5	1:ID	20	a	233
506	:=	0	11:ASSIGN	54	=	233
507	57005	0	8:INT_LIT	51	n	233
508	DOWNTO	5	0:KEYWORD	5	d	233
509	id[11]	11	1:ID	20	a	233
510	DO	4	0:KEYWORD	4	z	233
511	BEGIN	2	0:KEYWORD	2	e	234
512	writeln	5	4:PROCED	32	m	235
513	(	40	7:SPECIAL	43	(	235
514	str[1]	1	10:STRING	53	"	235
515	)	41	7:SPECIAL	44	)	235
516	END	7	0:KEYWORD	7	f	236
517	;	59	7:SPECIAL	48	;	236
518	id[2]	2	1:ID	20	a	237
519	:=	0	11:ASSIGN	54	=	237
520	5	0	8:INT_LIT	51	n	237
521	;	59	7:SPECIAL	48	;	237
522	id[3]	3	1:ID	20	a	238
523	:=	0	11:ASSIGN	54	=	238
524	id[2]	2	1:ID	20	a	238
525	+	43	5:A_OPER	33	+	238
526	3	0	8:INT_LIT	51	n	238
527	;	59	7:SPECIAL	48	;	238
528	IF	9	0:KEYWORD	9	s	239
529	id[2]	2	1:ID	20	a	239
530	>=	5	6:R_OPER	42	$	239
531	18	0	8:INT_LIT	51	n	239
532	THEN	15	0:KEYWORD	15	h	239
533	BEGIN	2	0:KEYWORD	2	e	240
534	id[3]	3	1:ID	20	a	241
535	:=	0	11:ASSIGN	54	=	241
536	40	0	8:INT_LIT	51	n	241
537	END	7	0:KEYWORD	7	f	242
538	;	59	7:SPECIAL	48	;	242
539	;	59	7:SPECIAL	48	;	242
540	writeln	5	4:PROCED	32	m	243
541	(	40	7:SPECIAL	43	(	243
542	str[0]	0	10:STRING	53	"	243
543	)	41	7:SPECIAL	44	)	243
544	4	0	8:INT_LIT	51	n	243
545	;	59	7:SPECIAL	48	;	243
546	IF	9	0:KEYWORD	9	s	244
547	id[2]	2	1:ID	20	a	244
548	=	2	6:R_OPER	39	¿	244
549	60	0	8:INT_LIT	51	n	244
550	THEN	15	0:KEYWORD	15	h	244
551	id[5]	5	1:ID	20	a	245
552	:=	0	11:ASSIGN	54	=	245
553	0	0	8:INT_LIT	51	n	245
554	;	59	7:SPECIAL	48	;	245
555	;	59	7:SPECIAL	48	;	245
556	FOR	8	0:KEYWORD	8	p	246
557	id[5]	5	1:ID	20	a	246
558	:=	0	11:ASSIGN	54	=	246
559	57005	0	8:INT_LIT	51	n	246
560	DOWNTO	5	0:KEYWORD	5	d	246
561	id[6]	6	1:ID	20	a	246
562	+	43	5:A_OPER	33	+	246
563	8	0	8:INT_LIT	51	n	246
564	DO	4	0:KEYWORD	4	z	246
565	BEGIN	2	0:KEYWORD	2	e	247
566	writeln	5	4:PROCED	32	m	248
567	(	40	7:SPECIAL	43	(	248
568	str[1]	1	10:STRING	53	"	248
569	)	41	7:SPECIAL	44	)	248
570	END	7	0:KEYWORD	7	f	249
571	;	59	7:SPECIAL	48	;	249
572	IF	9	0:KEYWORD	9	s	250
573	id[2]	2	1:ID	20	a	250
574	=	2	6:R_OPER	39	¿	250
575	id[3]	3	1:ID	20	a	250
576	THEN	15	0:KEYWORD	15	h	250
577	id[5]	5	1:ID	20	a	251
578	:=	0	11:ASSIGN	54	=	251
579	90	0	8:INT_LIT	51	n	251
580	;	59	7:SPECIAL	48	;	251
581	;	59	7:SPECIAL	48	;	251
582	IF	9	0:KEYWORD	9	s	252
583	id[7]	7	1:ID	20	a	252
584	=	2	6:R_OPER	39	¿	252
585	id[8]	8	1:ID	20	a	252
586	THEN	15	0:KEYWORD	15	h	252
587	id[5]	5	1:ID	20	a	253
588	:=	0	11:ASSIGN	54	=	253
589	90	0	8:INT_LIT	51	n	253
590	;	59	7:SPECIAL	48	;	253
591	;	59	7:SPECIAL	48	;	253
592	REPEAT	14	0:KEYWORD	14	@	254
593	id[9]	9	1:ID	20	a	254
594	:=	0	11:ASSIGN	54	=	254
595	id[10]	10	1:ID	20	a	254
596	+	43	5:A_OPER	33	+	254
597	1	0	8:INT_LIT	51	n	254
598	UNTIL	17	0:KEYWORD	17	k	254
599	id[9]	9	1:ID	20	a	254
600	>	4	6:R_OPER	41	>	254
601	9	0	8:INT_LIT	51	n	254
602	;	59	7:SPECIAL	48	;	254
603	REPEAT	14	0:KEYWORD	14	@	255
604	id[9]	9	1:ID	20	a	255
605	:=	0	11:ASSIGN	54	=	255
606	id[10]	10	1:ID	20	a	255
607	+	43	5:A_OPER	33	+	255
608	1	0	8:INT_LIT	51	n	255
609	UNTIL	17	0:KEYWORD	17	k	255
610	id[9]	9	1:ID	20	a	255
611	>	4	6:R_OPER	41	>	255
612	9	0	8:INT_LIT	51	n	255
613	;	59	7:SPECIAL	48	;	255
614	FOR	8	0:KEYWORD	8	p	256
615	id[5]	5	1:ID	20	a	256
616	:=	0	11:ASSIGN	54	=	256
617	57005	0	8:INT_LIT	51	n	256
618	DOWNTO	5	0:KEYWORD	5	d	256
619	id[11]	11	1:ID	20	a	256
620	DO	4	0:KEYWORD	4	z	256
621	BEGIN	2	0:KEYWORD	2	e	257
622	writeln	5	4:PROCED	32	m	258
623	(	40	7:SPECIAL	43	(	258
624	str[1]	1	10:STRING	53	"	258
625	)	41	7:SPECIAL	44	)	258
626	END	7	0:KEYWORD	7	f	259
627	;	59	7:SPECIAL	48	;	259
628	id[2]	2	1:ID	20	a	260
629	:=	0	11:ASSIGN	54	=	260
630	5	0	8:INT_LIT	51	n	260
631	;	59	7:SPECIAL	48	;	260
632	id[3]	3	1:ID	20	a	261
633	:=	0	11:ASSIGN	54	=	261
634	id[2]	2	1:ID	20	a	261
635	+	43	5:A_OPER	33	+	261
636	3	0	8:INT_LIT	51	n	261
637	;	59	7:SPECIAL	48	;	261
638	IF	9	0:KEYWORD	9	s	262
639	id[2]	2	1:ID	20	a	262
640	>=	5	6:R_OPER	42	$	262
641	18	0	8:INT_LIT	51	n	262
642	THEN	15	0:KEYWORD	15	h	262
643	BEGIN	2	0:KEYWORD	2	e	263
644	id[3]	3	1:ID	20	a	264
645	:=	0	11:ASSIGN	54	=	264
646	40	0	8:INT_LIT	51	n	264
647	END	7	0:KEYWORD	7	f	265
648	;	59	7:SPECIAL	48	;	265
649	;	59	7:SPECIAL	48	;	265
650	writeln	5	4:PROCED	32	m	266
651	(	40	7:SPECIAL	43	(	266
652	str[0]	0	10:STRING	53	"	266
653	)	41	7:SPECIAL	44	)	266
654	4	0	8:INT_LIT	51	n	266
655	;	59	7:SPECIAL	48	;	266
656	IF	9	0:KEYWORD	9	s	267
657	id[2]	2	1:ID	20	a	267
658	=	2	6:R_OPER	39	¿	267
659	60	0	8:INT_LIT	51	n	267
660	THEN	15	0:KEYWORD	15	h	267
661	id[5]	5	1:ID	20	a	268
662	:=	0	11:ASSIGN	54	=	268
663	0	0	8:INT_LIT	51	n	268
664	;	59	7:SPECIAL	48	;	268
665	;	59	7:SPECIAL	48	;	268
666	FOR	8	0:KEYWORD	8	p	269
667	id[5]	5	1:ID	20	a	269
668	:=	0	11:ASSIGN	54	=	269
669	57005	0	8:INT_LIT	51	n	269
670	DOWNTO	5	0:KEYWORD	5	d	269
671	id[6]	6	1:ID	20	a	269
